source,author,title,category,description,url,urlToImage,publishedAt,content
The Verge,Tom Warren,Microsoft is finally improving Windows 11’s dark mode - The Verge,technology,Microsoft is improving its dark mode in Windows 11. A new test build includes a dark theme on the file operation dialogs.,https://www.theverge.com/news/760466/microsoft-windows-11-dark-mode-improvements,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/darkmodewindows11improvements.jpeg?quality=90&strip=all&crop=3.0662393162393%2C0%2C93.867521367521%2C100&w=1200,2025-08-18T09:31:02Z,"<ul><li></li><li></li><li></li></ul>
After 10 years since Windows 10s release, the dark mode is getting a little more consistent.
After 10 years since Windows 10s release, the dark mode is getting … [+2472 chars]"
Gizmodo.com,Gayoung Lee,Scientists Pitch Bold Plan to Turn Nuclear Waste Into Nuclear Fuel - Gizmodo,technology,"Tapping into discarded nuclear waste could help generate a self-sufficient source of a key ingredient for nuclear fusion, a new plan proposes.",https://gizmodo.com/scientists-pitch-bold-plan-to-turn-nuclear-waste-into-nuclear-fuel-2000643875,https://gizmodo.com/app/uploads/2025/08/idaho-national-laboratory-nuclear-waste-storage-DOE-1200x675.jpg,2025-08-18T09:01:05Z,"Nuclear fusion has seen some exciting advances, and the promise of clean, efficient energy does seem to be creeping closer to reality. But skeptics point to practical issues we may not be trying hard… [+3795 chars]"
BBC News,,'I'm blind - Meta AI glasses allow me to work again' - BBC,technology,"Andy Evans says he gave up work due to his sight loss, but now has a job helping other blind people.",https://www.bbc.com/news/articles/c87ey8pxny5o,https://ichef.bbci.co.uk/news/1024/branded_news/a682/live/64332790-7792-11f0-907d-6ff0082c2def.jpg,2025-08-18T05:17:36Z,"Leigh Boobyer
Joe SimsBBC Radio Bristol presenter
Andy Evans is now working for a sight loss support charity
A man who has returned to work a year after being registered blind says new AI glasses … [+1893 chars]"
Nintendo Life,Liam Doolan,"Pokémon Champions Confirmed For Switch 2, Includes ""Free-To-Start"" And ""Paid"" Digital Version - Nintendo Life",technology,"More details will be ""shared in the future""",https://www.nintendolife.com/news/2025/08/pokemon-champions-confirmed-for-switch-2-includes-free-to-start-and-paid-digital-version,https://images.nintendolife.com/c17b007658401/large.jpg,2025-08-18T05:05:00Z,"Image: The Pokémon Company
We've just had an update about the new battle-focused game Pokémon Champions at the World Championships, and apart from the news it will lead as the main title for the VGC… [+1564 chars]"
SpaceNews,Jeff Foust,Blue Origin offers Mars communications orbiter concept - SpaceNews,technology,Blue Origin is offering a version of Blue Ring as a Mars communications orbiter as it and others propose ways to provide commercial services at Mars.,http://spacenews.com/blue-origin-offers-mars-communications-orbiter-concept/,https://spacenews.com/wp-content/uploads/2025/08/BlueOrigin_MarsTelecommunicationsOrbiter.jpg,2025-08-18T04:29:32Z,"Jeff Foust writes about space policy, commercial space, and related topics for SpaceNews.
He earned a Ph.D. in planetary sciences from the Massachusetts Institute of Technology and a bachelors degre… [+71 chars]"
Nintendo Life,Liam Doolan,Pokémon Teases New 'PokémonXP' Event - Nintendo Life,technology,"Taking place in ""downtown San Francisco""",https://www.nintendolife.com/news/2025/08/pokemon-teases-new-pokemonxp-event,https://images.nintendolife.com/94ea713911ccb/large.jpg,2025-08-18T04:00:00Z,"Watch on YouTube
Subscribe to Nintendo Life on YouTube830k
One mystery reveal at this year's World Championships event for Pokémon was the announcement of PokémonXP.
This news was revealed alongsi… [+1358 chars]"
Nintendoeverything.com,Brian,Pokemon Legends: Z-A reveals multiplayer battles with Z-A Battle Club - Nintendo Everything,technology,"More news about Pokemon Legends: Z-A was just delivered, with four-player multiplayer battles now having been revealed for the game with Z-A Battle Club. The announcement took place during the closing ceremony of the 2025 Pokemon World Championships. The hook…",https://nintendoeverything.com/pokemon-legends-z-a-reveals-multiplayer-battles-with-z-a-battle-club/,https://nintendoeverything.com/wp-content/uploads/Pokemon-Legends-Z-A-Battle-Club-four-player-battles.jpg,2025-08-18T03:09:26Z,"More news about Pokemon Legends: Z-A was just delivered, with four-player multiplayer battles now having been revealed for the game with Z-A Battle Club. The announcement took place during the closin… [+1398 chars]"
TechSpot,Skye Jacobs,The CD turns 43: The format that changed music forever - TechSpot,technology,"On August 17, 1982, engineers at a Polygram factory in Langenhagen, Germany, pressed the first commercial compact disc, containing the Swedish pop group ABBA's album The Visitors....",https://www.techspot.com/news/109098-cd-turns-43-format-changed-music-forever.html,https://www.techspot.com/images2/news/bigimage/2025/08/2025-08-17-image-3.jpg,2025-08-17T23:02:21Z,"Through the looking glass: The compact disc's 43-year journey, from technical experiment to a worldwide standard, tells the story of how global collaboration and bold engineering can reshape entire i… [+3835 chars]"
Forbes,Zak Doffman,Google’s Gmail Warning—Hackers Gain Access To User Accounts - Forbes,technology,Do not lose your account — what you need to know.,https://www.forbes.com/sites/zakdoffman/2025/08/18/google-warns-gmail-users-hackers-gain-access-to-accounts/,"https://imageio.forbes.com/specials-images/imageserve/66f8792060500de2d7ab0420/0x0.jpg?format=jpg&crop=902,508,x248,y77,safe&height=900&width=1600&fit=bounds",2025-08-17T22:01:32Z,"Do not lose your account what to know.
dpa/picture alliance via Getty Images
Republished on August 18 with a new warning for Google users about the risks in their Gmail address and what they should… [+5406 chars]"
BBC News,,TikTok Shop fakes prompts Welsh company to pull products - BBC,technology,"Lucie Macleod says she has to ""jump through hoops"" to prove people are selling fakes.",https://www.bbc.com/news/articles/c98llmprzpqo,https://ichef.bbci.co.uk/news/1024/branded_news/271d/live/d9358680-7753-11f0-89ee-73563f6604dd.png,2025-08-17T20:55:40Z,"Lucie Macleod made an appearance on BBC's Dragons Den with her hair oils
An entrepreneur has said several accounts listed fake versions of her haircare products on e-commerce platform TikTok Shop. … [+2593 chars]"
Slashdot.org,,LLM Found Transmitting Behavioral Traits to 'Student' LLM Via Hidden Signals in Data - Slashdot,technology,"A new study by  Anthropic and AI safety research group Truthful AI has found describes the phenomenon like this.  ""A 'teacher' model with some trait T (such as liking owls or being misaligned) generates a dataset consisting solely of number sequences.  Remark…",https://slashdot.org/story/25/08/17/0331217/llm-found-transmitting-behavioral-traits-to-student-llm-via-hidden-signals-in-data,https://a.fsdn.com/sd/topics/ai_64.png,2025-08-17T17:50:30Z,"Because LLMS do not reason.
Dubious. Discuss.
They regurgitate information in a pleasing way.
They do... whatever they're trained to do.
There are no thought processes or consciousness.
These ar… [+679 chars]"
Eurogamer.net,Vikki Blake,"Wuchang: Fallen Feathers mod ""rollbacks"" Patch 1.5's controversial changes - Eurogamer",technology,"In news unlikely to surprise you, modders have already rolled back the ""downgraded game experience"" introduced with Wuc…",https://www.eurogamer.net/wuchang-fallen-feathers-mod-rollbacks-patch-15s-controversial-changes,https://assetsio.gnwcdn.com/Wuchang_-Fallen-Feathers---Launch-Trailer-_-PS5-Games-0-48-screenshot.png?width=1200&height=630&fit=crop&enable=upscale&auto=webp,2025-08-17T17:22:32Z,"In news unlikely to surprise you, modders have already rolled back the ""downgraded game experience"" introduced with Wuchang: Fallen Feathers' latest patch, 1.5, for PC players.
While the Steam ratin… [+1611 chars]"
Videocardz.com,,"Intel Bartlett Lake-S 12 P-Core silicon steppings confirmed, still no sign of consumer variant - VideoCardz.com",technology,"Intel Bartlett Lake-S with 12 P-Cores with A0 silicon Bartlett Lake-S is primarily network and edge CPU architecture.  A new update on Bartlett Lake-S, a desktop platform compatible with the now last-gen LGA-1700 socket. According to hardware leaker Jaykihn, …",https://videocardz.com/newz/intel-bartlett-lake-s-12-p-core-silicon-steppings-confirmed-still-no-sign-of-consumer-variant,https://cdn.videocardz.com/1/2025/06/INTEL-BARTLETT-LAKES-HERO.jpg,2025-08-17T16:00:00Z,"Please note that this post is tagged as a rumor
.
Bartlett Lake-S is primarily network and edge CPU architecture. 
A new update on Bartlett Lake-S, a desktop platform compatible with the now last-… [+2503 chars]"
BleepingComputer,Mayank Parmar,"Google is adding ""Projects"" feature to Gemini to run research tasks - BleepingComputer",technology,"Google's Gemini is now testing a new feature called ""Projects."" This will be similar to OpenAI's Project Feature for ChatGPT.",https://www.bleepingcomputer.com/news/artificial-intelligence/google-is-adding-projects-feature-to-gemini-to-run-research-tasks/,https://www.bleepstatic.com/content/hl-images/2024/08/13/Gemini.jpg,2025-08-17T14:38:29Z,"Google's Gemini is now testing a new feature called ""Projects."" This will be similar to OpenAI's Project Feature for ChatGPT.
With Projects, you can add files, documents or your code. Then, you can … [+1385 chars]"
MacRumors,Joe Rossignol,Mark Gurman Responds to Last Week's Apple Device Leaks - MacRumors,technology,"Last week, Apple released and then pulled a software tool that accidentally contained identifiers for many unreleased devices and chips, according to...",https://www.macrumors.com/2025/08/17/mark-gurman-responds-to-apple-devices-leak/,https://images.macrumors.com/t/UrX3EJ-eB5hMT9fNxaS9N4ln1Gg=/2000x/article-new/2025/06/apple-beta-26-lineup.jpg,2025-08-17T14:03:42Z,"Last week, Apple released and then pulled a software tool that accidentally contained identifiers for many unreleased devices and chips, according to MacRumors contributor Aaron Perris. His findings … [+961 chars]"
Videocardz.com,,NVIDIA’s unreleased RTX TITAN ADA used 6×8-pin to dual 16-Pin adapter for up to 900W - VideoCardz.com,technology,NVIDIA was planning to use a 6-cable adapter for TITAN ADA No built-in fire extinguisher.  Der8auer takes a look at a feature of the graphics card that he recently covered on his channel. This previous video was the first showcase of a full working RTX TITAN …,https://videocardz.com/newz/nvidias-unreleased-rtx-titan-ada-used-6x8-pin-to-dual-16-pin-adapter-for-up-to-900w,https://cdn.videocardz.com/1/2025/08/TITAN-ADA-POWER-ADAPTER-CABLE-HERO.jpg,2025-08-17T11:30:00Z,"No built-in fire extinguisher. 
Der8auer takes a look at a feature of the graphics card that he recently covered on his channel. This previous video was the first showcase of a full working RTX TITA… [+2369 chars]"
Android Authority,,5 password managers you should use instead of LastPass - Android Authority,technology,LastPass should be the last thing on your list — here are better password managers that actually keep your most sensitive data safe.,https://www.androidauthority.com/lastpass-password-manager-alternatives-3587020/,https://www.androidauthority.com/wp-content/uploads/2020/10/LastPass-1.jpg,2025-08-17T10:11:40Z,"There was a time when LastPass was THE password manager everyone should be using. That statement still stands, but with one small twist: LastPass is now the number one password manager everyone shoul… [+4949 chars]"
Tom's Guide,Michael Desjardin,Here Comes RGB Mini-LED: What You Need to Know About the Next Big Thing for TVs - Tom's Guide,technology,One major advantage over OLED,https://www.tomsguide.com/tvs/this-breakthrough-tv-tech-has-samsung-sony-and-hisense-seeing-dollar-signs-heres-why-it-could-beat-oled-in-one-big-way,https://cdn.mos.cms.futurecdn.net/mnf5jaXvxSsC6JzFsFXRYY.jpg,2025-08-17T06:31:33Z,"Here's a promise I can keep: In the coming years, you'll be hearing a lot about something called RGB Mini-LED.
Recently, several companies unveiled TVs that sport this brand-new display technology, … [+6162 chars]"
PCMag.com,Iyaz Akhtar,Made By Google 2025 Wishlist: 6 Things I Want to See From the Pixel 10 Event - PCMag,technology,"Though we already have a fairly good idea of what Google plans to announce on Aug. 20, there are a few things I want on the agenda, starting with a smartphone that can take a beating.",https://www.pcmag.com/news/made-by-google-2025-wishlist-6-things-i-want-to-see-from-the-pixel-10-event,https://i.pcmag.com/imagery/articles/05IFkdL5HUG3kP8kSzKoaHF-1.fit_lim.size_1200x630.v1755095179.jpg,2025-08-16T12:00:31Z,
Gizmodo.com,Ed Cara,What Seemed Like a Pregnancy Was Actually Something Far More Dangerous - Gizmodo,health,"The woman was diagnosed with an ""exceedingly rare"" condition often mistaken for ectopic pregnancy.",https://gizmodo.com/what-seemed-like-a-pregnancy-was-actually-something-far-more-dangerous-2000644451,https://gizmodo.com/app/uploads/2025/08/pregnantwoman-1200x675.jpg,2025-08-18T20:10:04Z,"A woman’s supposed pregnancy turned out to be something much stranger. In a recent report from her doctors, they detail how the woman had developed an incredibly rare form of ovarian cancer that mimi… [+3287 chars]"
HuffPost,Julia Ries Wexler,"New Research Suggests An Alarming Relationship Between COVID, Flu And Breast Cancer - HuffPost",health,"“Respiratory viruses are like a strong wind that reignites the flame.""",https://www.huffpost.com/entry/covid-flu-breast-cancer_l_68a3487ae4b03709c085c04d,https://img.huffingtonpost.com/asset/68a34eb818000070398c5a09.jpeg?ops=500_281%2Cscalefit_1200_630,2025-08-18T17:27:50Z,"Why some cancers recur after years of dormancy is a question scientists have been racing to answer. Past evidence suggests that stress, chronic inflammation and hormonal changes may reawaken sleeping… [+5827 chars]"
Associated Press,,Texas declares measles outbreak over - AP News,health,Health officials in Texas have declared the state's measles outbreak over. The virus sickened 762 people since late January. Nearly 100 were hospitalized and two children died. State health data shows that the last outbreak-related measles case in Texas was o…,https://apnews.com/article/measles-vaccine-outbreak-texas-mmr-0744a165cfb354022092a1f158c698b0,https://dims.apnews.com/dims4/default/23e5171/2147483647/strip/true/crop/2979x1676+0+155/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F60%2Fc4%2Fb7f13d250b6e056f39388c4c62af%2F7e580178cd944db4be521e9aa666ca63,2025-08-18T16:47:00Z,"The Texas measles outbreak that sickened 762 people since late January is over, state health officials said Monday.
Its been more than 42 days since the last new case was confirmed, meeting the thre… [+2351 chars]"
Gizmodo.com,Ed Cara,People Are Now Seeing ‘Zombie’ Squirrels in Their Backyards - Gizmodo,health,"Scary as squirrel fibroma virus looks, the animals usually recover and the infection isn't dangerous to people.",https://gizmodo.com/people-are-now-seeing-zombie-squirrels-in-their-backyards-2000644281,https://gizmodo.com/app/uploads/2025/08/squirrelpox-1200x675.jpg,2025-08-18T16:35:30Z,"As if black-horned rabbits werent strange enough, people are now spotting zombie-like squirrels covered in odd, sometimes bleeding sores in their backyards and parks. These sickly squirrels aren’t zo… [+2455 chars]"
WRAL.com,"Grace Hayba, WRAL health reporter",Durham County faces lowest vaccine rates in central NC as school year approaches - WRAL.com,health,"With measles outbreaks reported across North America, experts like Dr. Tony Moody from Duke Health stress the importance of vaccinations to safeguard against potential public health crises.",https://www.wral.com/lifestyle/health/durham-county-lowest-vaccine-rates-central-nc-august-2025/,https://images.wral.com/2d3b1c53-7c02-43b2-a0a5-f9f60900d590?w=1200&h=630,2025-08-18T16:07:30Z,"The countdown to the return to school is on for many major Triangle-area
traditional school systems, including Wake County and Durham County. 
Pediatricians say now is a critical time for parents t… [+6979 chars]"
Science Daily,,"Forget LASIK: Safer, cheaper vision correction could be coming soon - ScienceDaily",health,"Scientists are developing a surgery-free alternative to LASIK that reshapes the cornea using electricity instead of lasers. In rabbit tests, the method corrected vision in minutes without incisions.",https://www.sciencedaily.com/releases/2025/08/250818102941.htm,https://www.sciencedaily.com/images/1920/advanced-eye-scan-vision-treatment.webp,2025-08-18T15:24:31Z,"Millions of Americans have altered vision, ranging from blurriness to blindness. But not everyone wants to wear prescription glasses or contact lenses. Accordingly, hundreds of thousands of people un… [+6124 chars]"
NBC News,Doha Madani,Man who asked ChatGPT about cutting out salt from his diet was hospitalized with hallucinations - NBC News,health,A 60-year-old man spent three weeks being treated at a hospital after replacing table salt with sodium bromide following consultation with the popular artificial intelligence bot ChatGPT,https://www.nbcnews.com/tech/tech-news/man-asked-chatgpt-cutting-salt-diet-was-hospitalized-hallucinations-rcna225055,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-08/250814-chatgpt-salt-advice-se-200p-8c63c7.jpg",2025-08-18T14:32:00Z,"A 60-year-old man spent three weeks being treated at a hospital after replacing table salt with sodium bromide following consultation with the popular artificial intelligence bot ChatGPT.
Three phys… [+2761 chars]"
Fox News,,"Cutting out one food type could nearly double weight loss, new study suggests - AOL.com",health,"A new study shows ditching ultra-processed foods like microwave meals, sodas and packaged cookies nearly doubled weight loss in overweight adults over the span of two months.",https://www.foxnews.com/food-drink/cutting-one-food-type-could-nearly-double-weight-loss-study-suggests,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/food-cutting-out-upfs-weight-loss-1.jpg,2025-08-18T14:31:49Z,"A new study suggests that cutting out a single category of foods could nearly double people's weight-loss results.
The study, published in the journal Nature Medicine on Aug. 4, found that overweigh… [+3149 chars]"
Naturepedic.com,Arin Schultz for Naturepedic,Don’t talk to me before my coffee: The importance of a morning routine - AOL.com,health,"Naturepedic reports that morning routines significantly influence daily outcomes, with 49% of people feeling a bad morning impacts their day.",https://www.naturepedic.com/healthy-morning-habits,https://s.yimg.com/ny/api/res/1.2/lCaOYtdLEUd5kRBdqErUAQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/aol_stacker_articles_387/27215847e2a095ede24cfd8db7773b2f,2025-08-18T14:07:54Z,"Hand holding a coffee cup extending upward from person whose face and body are under the covers in bed. - Carlo Prearo // Shutterstock
Dont talk to me before my coffee: The importance of a morning r… [+8161 chars]"
Study Finds,StudyFinds Analysis,Are You ‘Too Sensitive’? Science Says It May Affect Your Mental Health - Study Finds,health,"A review of 33 studies with nearly 13,000 people found that higher sensitivity is linked to more symptoms of anxiety and depression.",https://studyfinds.org/are-you-too-sensitive-science-says-it-may-affect-mental-health/,https://studyfinds.org/wp-content/uploads/2024/07/Depression-scaled.jpg,2025-08-18T13:32:38Z,"Highly sensitive people are at greater risk for numerous mental health conditions. (Photo by fizkes on Shutterstock)
<ul><li>About one in three people are highly sensitive, meaning they feel sights,… [+7659 chars]"
MyNorthwest.com,Julia Dallas,What is ‘zombie’ rabbit disease and can pets catch it? - MyNorthwest.com,health,Learn about 'zombie' rabbit disease and whether it poses a risk to your pets.,https://mynorthwest.com/local/zombie-rabbit-disease/4121252,https://mynorthwest.com/wp-content/uploads/2025/08/zombie-rabbit-disease.jpg,2025-08-18T12:02:46Z,"This June 26, 2013, image made from a video provided by Gunnar Boettcher shows a rabbit in Mankato, Minn., that Boettcher dubbed Frankenstein, due to what looks like horns growing out of its head. (F… [+1930 chars]"
ScienceAlert,Carly Cassella,Blowing a Conch Shell Each Day Could Help Treat Sleep Apnea - ScienceAlert,health,"People who play certain wind instruments, like the didgeridoo, may find it easier to breathe while sleeping, according to emerging research.",https://www.sciencealert.com/blowing-a-conch-shell-each-day-could-help-treat-sleep-apnea,https://www.sciencealert.com/images/2025/08/ConchBlowing.jpg,2025-08-18T12:01:30Z,"People who play certain wind instruments, like the didgeridoo, may find it easier to breathe while sleeping, according to emerging research.
A new randomized controlled trial suggests that blowing t… [+2699 chars]"
Eatthis.com,Heather Newgen,9 Superfoods That Help Shrink Visceral Fat in 4 Weeks - Eat This Not That,health,These nine nutrient-packed superfoods can help reduce dangerous visceral fat in four weeks.,https://www.eatthis.com/superfoods-shrink-visceral-fat-in-4-weeks/,https://www.eatthis.com/wp-content/uploads/sites/4/2025/08/shutterstock_2092251007.jpg?quality=82&strip=all,2025-08-18T11:45:37Z,"Visceral fatbelly fat that wraps around your internal organsisnt just stubborn; its also linked to serious health risks like heart disease, type 2 diabetes, and inflammation. Its not a fat that you c… [+3946 chars]"
Minneapolis Star Tribune,"Jill Burcum, Jill Burcum","Burcum: As RFK Jr. sows vaccine doubts, a Minnesota-led effort pushes back on YouTube - Star Tribune",health,"""Thankfully, doctors and scientists are not standing idly by,"" Jill Burcum writes.",https://www.startribune.com/robert-f-kennedy-jr-hhs-antivaxx-misinformation/601454981,https://arc.stimg.co/startribunemedia/KIONWWQMV5D53OZV44FD5DMIMA.JPG?&w=1200&ar=1.91:1&fit=crop,2025-08-18T11:02:22Z,"Opinion editors note:Strib Voices publishes a mix of commentary online and in print each day. To contribute, click here.
Robert F. Kennedy Jr., who heads the U.S. Department of Health and Human Serv… [+2059 chars]"
HuffPost,Sarah Bourassa,The 1 Thing You Should Never Touch After You've Been In A Hotel Lobby - HuffPost,health,The last thing you want to do is get sick before your stay even begins.,https://www.huffpost.com/entry/germs-in-hotel-lobbies_l_689f35e4e4b0df16e32c40bb,https://img.huffingtonpost.com/asset/689f385418000042528c57c0.jpeg?ops=500_281%2Cscalefit_1200_630,2025-08-18T11:00:17Z,"When you enter a hotel lobby, youre probably focused on checking into your hotel room, juggling all of your luggage and finding the elevators to your floor. But one thing youre likely not thinking ab… [+7488 chars]"
Slate Magazine,Allison Price,"Parent advice: My daughter moved in to ""help"" after I got sick. Well, I'm better now and she's got to go. - Slate",health,I've had enough.,https://slate.com/advice/2025/08/advice-family-parenting-child-moving-out.html,https://compote.slate.com/images/a8da9d1a-0b01-4fd8-a5d7-f49b55aa9b9f.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560,2025-08-18T10:00:00Z,"Care and Feeding is Slates parenting advice column. Have a question for Care and Feeding? Submit it here.
Dear Care and Feeding,
My daughter, who is 44 years old, moved in with my husband and me af… [+3542 chars]"
Medical News Today,Katharine Lang,Small change to how you walk may help relieve osteoarthritis pain - Medical News Today,health,"Aodifying your walking style may relieve the pain and slow the progression of knee osteoarthritis as effectively as commonly used medications, a recent study has found.",https://www.medicalnewstoday.com/articles/small-change-to-how-you-walk-may-help-relieve-osteoarthritis-pain,https://media.post.rvohealth.io/wp-content/uploads/sites/3/2025/08/knee-osteoarthritis-Stocksy_txp0ceafd76wDA400_Medium_219342-Facebook.jpg,2025-08-18T09:45:07Z,"<ul><li>Osteoarthritis is a chronic, degenerative condition of the joints that most commonly occurs in people over the age of 40.</li><li>The condition can affect any joint in the body, but is most c… [+6413 chars]"
International Business Times UK,Marie Joy Toledo,Ozempic Lawsuit: Patients Claim Life-Threatening Side Effects As Safety Questions Put Zepbound In The Spotlight - International Business Times UK,health,"Over 2,000 Ozempic and Zepbound lawsuits allege life-threatening side effects as FDA updates warnings and courts weigh evidence.",https://www.ibtimes.co.uk/ozempic-lawsuit-patients-claim-life-threatening-side-effects-safety-questions-put-zepbound-1741363,https://d.ibtimes.co.uk/en/full/1750485/ozempic-medication-box.jpg,2025-08-18T09:25:28Z,"More than 2,000 lawsuits have been filed in the United States against the makers of Ozempic and Zepbound, with patients alleging life-threatening side effects linked to the popular weight-loss and di… [+3727 chars]"
BBC News,Sofia Quaglia,Can you catch diseases from toilet seats? - BBC,health,"As you sink down onto a toilet seat used by hundreds of other people the same day, you might be wondering: how long do pathogens survive in bathrooms?",https://www.bbc.com/future/article/20250814-can-you-catch-diseases-from-toilet-seats,https://ychef.files.bbci.co.uk/624x351/p0lwz93k.jpg,2025-08-18T09:04:34Z,"There are more effective interventions, says Paddy, like making toilet bowls with shields that go between the bowl and the seat. Currently, these are largely used in healthcare settings to protect nu… [+2645 chars]"
STAT,William Foege,Former CDC Director William Foege: How public health can fight back in a time of dangerous nonsense - statnews.com,health,"“Kennedy would be less hazardous if he decided to do cardiac surgery. Then he would kill people only one at a time,” writes former CDC Director William Foege.",https://www.statnews.com/2025/08/18/rfk-jr-public-health-threats-william-foege-smallpox/,https://www.statnews.com/wp-content/uploads/2025/08/AdobeStock_1525590072-1024x576.jpeg,2025-08-18T08:32:33Z,"Physician Brendan Phibbs, who wrote The Other Side of Time: A Combat Surgeon in World War II, said, It is a merciful God that doesnt let us see the future. 
But we all have dreams for that future, a… [+5332 chars]"
The Boston Globe,,From Ozempic envy to ghosting friends: How GLP-1s are reshaping relationships - The Boston Globe,health,"Jealousy, secrecy, and lies are rippling through friendships, marriages, and even doctors’ appointments as GLP-1s go mainstream.",https://www.bostonglobe.com/2025/08/18/lifestyle/ozempic-jealousy-shame/,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/v2/W7DRX6AJ5JFOPAYRMGHZF3BXYE.jpg?auth=45e7a24896dcd39ac43b78a9524ca3c71a66bbef32c1b672d32e55ebbdd85b8d&width=1440,2025-08-18T07:23:00Z,"Its been two and a half years since host Jimmy Kimmelsfamous Oscars joke: Everybody looks so great, he said from the stage. When I look around this room, I cant help but wonder is Ozempic right for m… [+4183 chars]"
Post Magazine,,"Chinese scientists transplant human brain cells to mice, boosting pleasure - South China Morning Post",health,Therapeutic potential hailed as engineered neuron-like cells help lessen anxiety and resignation while increasing feelings of enjoyment.,https://www.scmp.com/news/china/science/article/3322054/chinese-scientists-transplant-human-brain-cells-mice-boosting-pleasure-levels,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2025/08/15/496edbbf-be37-49ea-87ab-1bfc2423f377_22b74613.jpg?itok=F32J48qw&v=1755263517,2025-08-18T06:00:13Z,"Chinese scientists have found a way to turn human stem cells into dopamine-producing brain cells, transplanting them into mice and helping reduce depressive behaviour and boost pleasure.
When the en… [+995 chars]"
The Boston Globe,,"Red wine isn’t the health hero you think, according to a Brown University study - The Boston Globe",health,"“The first key finding is that overall, there is no difference by wine type in terms of cancer risk,” said the study’s author, a professor at Brown.",https://www.bostonglobe.com/2025/08/25/metro/wine-cancer-risk-comparison-ri/,https://bostonglobe-prod.cdn.arcpublishing.com/resizer/v2/RZUOPNVJM4I6TJXM533A5VPVDQ.jpg?auth=e39f389fc6b2079847b817e22fab4b9634e0cdcf5bc5552b6113bfd671cc1fb2&width=1440,2025-08-18T05:55:00Z,"The first key finding is that overall, there is no difference by wine type in terms of cancer risk, said Eunyoung Cho, corresponding author of the study and associate professor of epidemiology and of… [+4858 chars]"
The Times of India,TOI Lifestyle Desk,American Heart Association releases new guidelines for blood pressure management - The Times of India,health,"New guidelines from the AHA and ACC, released August 14, 2025, address high blood pressure in adults, affecting nearly half of Americans. The focus is",https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/american-heart-association-releases-new-guidelines-for-blood-pressure-management/articleshow/123322785.cms,"https://static.toiimg.com/thumb/msid-123322769,width-1070,height-580,imgsize-823442,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2025-08-18T04:32:00Z,
Yahoo Entertainment,Ren Venkatesh,Experts warn once-contained disease has returned 'with a vengeance': 'Lives will be lost' - yahoo.com,health,The country is struggling without aid.,https://www.yahoo.com/news/articles/experts-warn-once-contained-disease-030000128.html,https://s.yimg.com/ny/api/res/1.2/ipNA4QGgUt7GQ5kdEnqJ2g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU7Y2Y9d2VicA--/https://media.zenfs.com/en/the_cool_down_737/460fedf990ea8719fb51607f6f87817b,2025-08-18T03:00:00Z,"Malaria cases have entered a sharp spike in Zimbabwe this year after U.S. aid cuts to the country. At this new unprecedented malaria rate, hospitalizations and death tolls are rising.
What's happeni… [+3214 chars]"
The Times of India,ETimes.in,5 natural ways to curb inflammation in the body - Times of India,health,"Inflammation is the body's protective response to harmful stimuli like pathogens, damaged cells, or irritants. While occasional inflammation is fine, chronic inflammation is extremely detrimental for your body, increasing the chances of having heart issues, a…",https://timesofindia.indiatimes.com/life-style/health-fitness/5-natural-ways-to-curb-inflammation-in-the-body/photostory/123319387.cms,https://static.toiimg.com/photo/123319409.cms,2025-08-18T00:11:00Z,"Prolonged stress together with insufficient sleep, leads to increased body-wide inflammation. Your body creates stress hormones and chemicals that activate inflammation when you experience stress. Yo… [+1275 chars]"
USA Today,"Thao Nguyen, USA TODAY",Hundreds may have been exposed to rabies after bat colony found inside Grand Teton lodge - Yahoo News Canada,health,"The bat colony was found over the past few months in cabins at the Jackson Lake Lodge, a popular eco-hotel in Grand Teton National Park.",https://www.usatoday.com/story/news/nation/2025/08/17/rabies-bat-colony-grand-teton-lodge-warning/85701872007/,https://s.yimg.com/ny/api/res/1.2/PoCTqPdvc90m5kxc9KY7Jw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDg7Y2Y9d2VicA--/https://media.zenfs.com/en/usa_today_news_641/0675f723d099395817413280d536ac70,2025-08-18T00:04:00Z,"Hundreds of people may have been exposed to rabies after a suspected bat colony was discovered inside a lodge in Grand Teton National Park in recent months, national park and state health officials w… [+6196 chars]"
